857,0 2,73 3,0
828,0 2,57 3,0
453,0 0,87 3,0
426,0 0,845 4,0
426,0 0,85 4,0
424,0 0,816 4,0
425,0 0,84 4,0
441,0 0,88 3,0
456,0 0,91 3,0
428,0 1,01 5,0
428,0 0,97 5,0
422,0 0,9 5,0
421,0 0,84 5,0
419,0 0,82 4,0
453,0 0,97 3,0
464,0 0,96 3,0
463,0 0,93 3,0
465,0 0,88 3,0
420,0 0,82 3,0
422,0 0,57 6,0
437,0 0,77 5,0
351,0 0,79 3,0
393,0 0,7 3,0
356,0 0,71 3,0
610,0 1,74 3,0
694,0 2,41 5,0
602,0 1,8 3,0
861,0 2,71 4,0
846,0 3,01 6,0
610,0 1,92 3,0
864,0 2,71 4,0
870,0 2,72 4,0
886,0 3,1 4,0
882,0 3,8 3,0
881,0 3,1 3,0
845,0 3,0 6,0
821,0 2,7 5,0
1003,0 3,51 2,0
882,0 3,3 4,0
895,0 3,7 3,0
873,0 2,75 4,0
1002,0 3,35 2,0
867,0 2,81 4,0
607,0 1,34 2,0
506,0 1,1 4,0
1109,0 4,5 4,0
1273,0 5,83 5,0
668,0 1,79 5,0
621,0 1,81 5,0
687,0 2,25 6,0
680,0 2,48 6,0
681,0 1,97 5,0
673,0 2,26 3,0
726,0 2,1 6,0
681,0 1,3 4,0
657,0 2,01 3,0
688,0 2,17 5,0
1149,0 5,6 3,0
1110,0 4,8 4,0
1129,0 5,5 4,0
1048,0 4,85 4,0
985,0 4,88 4,0
969,0 4,91 4,0
968,0 4,91 4,0
625,0 1,93 5,0
620,0 2,0 5,0
708,0 2,05 3,0
705,0 2,1 5,0
658,0 1,6 5,0
656,0 2,03 5,0
705,0 1,91 5,0
684,0 1,84 5,0
685,0 1,82 4,0
668,0 1,75 5,0
668,0 1,65 6,0
664,0 1,64 6,0
662,0 1,71 6,0
663,0 1,58 6,0
657,0 1,95 5,0
673,0 1,7 5,0
655,0 1,64 4,0
653,0 1,73 4,0
665,0 1,77 5,0
651,0 1,58 4,0
643,0 1,69 4,0
662,0 1,69 3,0
625,0 1,57 4,0
